Codi d'expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció causa vianant;Descripció tipus de vehicle;Descripció model;Descripció marca;Descripció color;Descripció carnet;Antiguitat carnet;Coordenada UTM (Y);Coordenada UTM (X)
2013S001962;9;Sant Andreu;61;la Sagrera;292405;Sagrera;60 006;Divendres;Dv;Laboral;2013;3;Març;15;10;No és causa del  vianant;Turismo;LEON;SEAT;Blanc;B;4;4585725,04;432546,12
2013S004170;1;Ciutat Vella;3;la Barceloneta;700654;Litoral;20 010;Divendres;Dv;Laboral;2013;6;Juny;7;16;No és causa del  vianant;Furgoneta;KANGOO;RENAULT;Platejat;B;17;4582127,97;432766,76
2013S001691;8;Nou Barris;44;Vilapicina i la Torre Llobeta;209900;Meridiana;0365B0365B;Dimecres;Dc;Laboral;2013;3;Març;6;6;No és causa del  vianant;Taxi;PRIUS;TOYOTA;Altres;BTP;21;4586856,55;431904,73
2013S004304;9;Sant Andreu;59;el Bon Pastor;131803;Formiga;10 001;Dijous;Dj;Laboral;2013;6;Juny;13;13;No és causa del  vianant;Ciclomotor;ATLANTIS;DERBI;Negre;B;7;4587617,32;433380,03
2013S004436;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20750000;Dilluns;Dl;Laboral;2013;6;Juny;17;21;No és causa del  vianant;Turismo;CLIO;RENAULT;Blanc;B;1;4585249,15;433366,47
2013S004437;7;Horta-Guinardó;43;Horta;154300;Hedilla;540 054;Dilluns;Dl;Laboral;2013;6;Juny;17;18;Altres;Turismo;SCENIC;RENAULT;Negre;B;9;4587681,61;430040,07
2013S004441;2;Eixample;10;Sant Antoni;323203;Sepúlveda;370 037;Dimarts;Dm;Laboral;2013;6;Juny;18;4;No és causa del  vianant;Motocicleta;XCITING 250;KYMCO;Gris;Desconegut;Desconegut;4581130,86;429329,31
2013S004568;6;Gràcia;31;la Vila de Gràcia;310802;Sant Salvador;1 430 143;Dissabte;Ds;Laboral;2013;6;Juny;22;2;No és causa del  vianant;Taxi;TOLEDO;SEAT;Altres;BTP;25;4584717,04;429652,84
2013S004706;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;181608;Roc Boronat;960 096;Divendres;Dv;Laboral;2013;6;Juny;28;15;No és causa del  vianant;Turismo;CRV;HONDA;Negre;B;24;4583879,7;432897,56
2013S001433;1;Ciutat Vella;2;el Barri Gòtic;177101;Laietana;150 015;Diumenge;Dg;Laboral;2013;2;Febrer;24;16;No és causa del  vianant;Turismo;LEXUS;LEXUS;Daurat;B;16;4581829,74;431490,89
2013S001434;2;Eixample;8;l'Antiga Esquerra de l'Eixample;70607;Casanova;1 680 168;Diumenge;Dg;Laboral;2013;2;Febrer;24;17;No és causa del  vianant;Motocicleta;SIXTEEN;SUZUKI;Blanc;A;2;4582691,89;429201,38
2013S001705;9;Sant Andreu;60;Sant Andreu;701268;Dalt (Llobregat);1600000;Dimecres;Dc;Laboral;2013;3;Març;6;17;No és causa del  vianant;Furgoneta;KANGOO;RENAULT;Blanc;B;20;4588904,3;432720,11
2013S002521;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;38706;Benedetti;20 002;Dilluns;Dl;Laboral;2013;4;Abril;8;17;No és causa del  vianant;Camión > 3,5 Tm;Desconegut;IVECO FIAT;Blanc;C;10;4584660,17;426833,76
2013S002524;3;Sants-Montjuïc;18;Sants;48404;Brasil;40 004;Dilluns;Dl;Laboral;2013;4;Abril;8;19;No és causa del  vianant;Motocicleta;GSR 600;SUZUKI;Platejat;Desconegut;Desconegut;4581048,05;427400,58
2013S000114;2;Eixample;7;la Dreta de l'Eixample;32700;Balmes;660 066;Dilluns;Dl;Laboral;2013;1;Gener;7;10;No és causa del  vianant;Turismo;GOLF;VOLKSWAGEN;Blau;B;34;4582616,63;430004,41
2013S000116;7;Horta-Guinardó;43;Horta;58102;Campoamor;790 079;Dilluns;Dl;Laboral;2013;1;Gener;7;9;No és causa del  vianant;Motocicleta;SH 125;HONDA;Gris;B;5;4587631,44;429400,92
2013S004745;3;Sants-Montjuïc;18;Sants;138802;Galileu;1 810 181;Diumenge;Dg;Laboral;2013;6;Juny;30;14;No és causa del  vianant;Turismo;118;BMW;Blanc;B;17;4581616,03;427646,19
